epoch,c10h_train_loss,c10h_train_acc,c10h_val_loss,c10h_val_acc,c10h_train_c10_loss,c10h_train_c10_acc,c10h_val_c10_loss,c10h_val_c10_acc,v4_loss,v4_acc,v6_loss,v6_acc,c10_50k_loss,c10_50k_acc
0,0.8242088266781398,0.9185555555555556,0.7522199764251709,0.934,0.39349154106208256,0.9195555555555556,0.30446508169174197,0.94,0.838030318055396,0.8342404750123701,0.7882102146148682,0.8535,0.0021370911979675293,0.99956
1,0.5766790619918278,0.8427777777777777,0.635979501247406,0.817,0.4429937865052904,0.845,0.4986480281352997,0.822,0.8213014691728935,0.7199406234537358,0.7801372199058533,0.7285,0.39859429468154906,0.8627
2,0.565169985805239,0.8574444444444445,0.6615932292938232,0.835,0.391008813892092,0.8598888888888889,0.5048237581253052,0.838,0.9279849157658973,0.7060860959920832,0.8934374504089355,0.7195,0.39973975473403933,0.86184
3,0.4600790990250451,0.904,0.5243717460632324,0.866,0.26536685356072015,0.9072222222222223,0.3679356861114502,0.868,0.867942073214237,0.731321128154379,0.7735442447662354,0.7535,0.30410158761024475,0.89538
4,0.4454764749322619,0.9194444444444444,0.5820230221748353,0.874,0.2208029059427125,0.9235555555555556,0.3849357223510742,0.877,0.8803249559208994,0.7352795645719941,0.7776550242900848,0.768,0.2845539137983322,0.90308
5,0.4458590737410954,0.9182222222222223,0.5867044367790222,0.863,0.2147242264023849,0.9227777777777778,0.40280550575256346,0.867,0.8049929215729915,0.7545769421078674,0.7181445488929749,0.7675,0.3001411042499542,0.89594
6,0.44510661235877447,0.9201111111111111,0.5422256870269775,0.885,0.20394908551658902,0.9241111111111111,0.35229418563842774,0.887,0.828774740264181,0.7545769421078674,0.7625325844287872,0.771,0.305212032251358,0.89732
7,0.4637125624077661,0.9275555555555556,0.6345719499588013,0.875,0.19549142026475497,0.9323333333333333,0.42930335068702696,0.877,0.9768779541465801,0.7288471053933696,0.8622523238658905,0.7555,0.3434752762699127,0.88802
8,0.4256056121417454,0.9268888888888889,0.5567249965667724,0.886,0.18501363077333996,0.932,0.37520564889907837,0.89,0.8512507728395458,0.7387431964374073,0.8029340074062348,0.751,0.33740054856300356,0.88762
9,0.5831434675625392,0.8935555555555555,0.757514386177063,0.84,0.32073100975581575,0.897,0.5576997756958008,0.842,1.245391196157011,0.6882731321128155,1.179183725476265,0.717,0.5047471985816956,0.85192
10,0.4542696224791663,0.9332222222222222,0.659821231842041,0.874,0.1655452411621809,0.9383333333333334,0.4556810302734375,0.877,1.0430691294714933,0.7204354280059376,0.9612412271499634,0.7425,0.36603985692977903,0.88284
11,0.6091931798628398,0.8788888888888889,0.895789442062378,0.806,0.3439638493316514,0.8825555555555555,0.6927855129241943,0.807,1.1883700013691574,0.685799109351806,1.134708264350891,0.711,0.5781227188301087,0.83036
12,0.433864283987454,0.9346666666666666,0.632288833618164,0.873,0.15805245339870452,0.9397777777777778,0.4219284851551056,0.876,0.9617823810048884,0.722909450766947,0.8931958172321319,0.745,0.36201005513191226,0.88322
13,0.4943462231329509,0.929,0.667917160987854,0.867,0.18301144125206129,0.9337777777777778,0.44931189489364626,0.871,1.0758952016821006,0.714992577931717,1.0310079157352448,0.723,0.4163305188274384,0.87356
14,0.46453983783721925,0.9417777777777778,0.6813891301155091,0.864,0.1412451037338802,0.9475555555555556,0.4542059531211853,0.865,1.0445896281516533,0.7243938644235527,0.9361406682729722,0.759,0.38012322190761566,0.8821
15,0.4916397873844419,0.9207777777777778,0.7235178184509278,0.838,0.20120045457567487,0.9256666666666666,0.5328510234355927,0.84,1.0679574954161721,0.7174666006927264,1.018850872516632,0.723,0.4362847681236267,0.8649
16,0.4511649740593774,0.9373333333333334,0.6853828997611999,0.86,0.15721422902175358,0.9417777777777778,0.47942164254188535,0.863,0.9543972923754466,0.7387431964374073,0.9007522292137146,0.753,0.4105115776348114,0.87436
17,0.4503566758973258,0.9462222222222222,0.6801846036911011,0.867,0.12795670633869513,0.9525555555555556,0.4459437108039856,0.873,0.9930168632113774,0.7446808510638298,0.9451666789054871,0.7635,0.3876788291835785,0.88164
18,0.4628426934991564,0.9363333333333334,0.7864106793403626,0.832,0.15783761101109642,0.9423333333333334,0.5949727988243103,0.832,1.142831725451334,0.7135081642751113,1.0630231362581253,0.7275,0.44808665778160095,0.86512
19,0.4391412492309298,0.9512222222222222,0.6438087334632874,0.865,0.10685142603303704,0.957,0.4048544819355011,0.867,1.0325241723549006,0.7253834735279565,0.9316367435455323,0.751,0.393447432050705,0.87926
20,0.4836819853101458,0.9316666666666666,0.7881632246971131,0.844,0.17344478374081,0.9366666666666666,0.587691915512085,0.846,1.107007860724493,0.7209302325581395,0.9720826108455658,0.7395,0.4758024556541443,0.85904
21,0.4604654516492571,0.953,0.7165234994888305,0.855,0.11063859755439417,0.9588888888888889,0.4833879692554474,0.858,0.9849237094180292,0.7511133102424542,0.951863997220993,0.7655,0.3848712305355072,0.88382
22,0.48495904845850807,0.9432222222222222,0.783823627948761,0.848,0.13199473986668245,0.9491111111111111,0.5746040954589844,0.852,1.077427251807302,0.7308263236021771,1.0014119644165038,0.748,0.43707338942527774,0.8735
23,0.4639306617634637,0.9514444444444444,0.7473850579261779,0.848,0.1168114175753934,0.9571111111111111,0.5186358222961426,0.852,1.1460010950545283,0.7159821870361207,0.9678326606750488,0.7525,0.4277588425731659,0.87804
24,0.5265045012746539,0.9331111111111111,0.8474956016540527,0.839,0.17060567715338298,0.939,0.6032631154060364,0.843,1.1466135505636632,0.714992577931717,1.053377031326294,0.731,0.5292475116825104,0.8508
