epoch,c10h_train_loss,c10h_train_acc,c10h_val_loss,c10h_val_acc,c10h_train_c10_loss,c10h_train_c10_acc,c10h_val_c10_loss,c10h_val_c10_acc,v4_loss,v4_acc,v6_loss,v6_acc,c10_50k_loss,c10_50k_acc
0,0.5639863574079105,0.9626666666666667,0.601894223690033,0.978,0.11946775838732719,0.9647777777777777,0.08547541379928589,0.982,0.33905741778828613,0.9208312716476992,0.3321808738708496,0.9225,0.0001338926601409912,1.0
1,0.50073376968503,0.9651111111111111,0.5497884192466735,0.974,0.09356675052217074,0.9675555555555555,0.08438794136047363,0.977,0.3104607936829874,0.9188520534388916,0.303942129611969,0.9205,0.00034537960052490236,1.0
2,0.4779788892183985,0.9683333333333334,0.5343249707221985,0.975,0.07127319914954049,0.9714444444444444,0.08113109970092773,0.978,0.3017951265928593,0.9198416625432954,0.29676024842262266,0.921,0.0004419877815246582,0.99998
3,0.46463994468961445,0.9708888888888889,0.5225120496749878,0.973,0.06069728471338749,0.9745555555555555,0.07933226096630096,0.977,0.28367016213415636,0.9247897080653142,0.2764963276386261,0.927,0.0004938680267333984,0.99998
4,0.4493394802723612,0.9738888888888889,0.5061070761680603,0.973,0.05371372957846948,0.9767777777777777,0.07409362256526947,0.977,0.29148172871391703,0.9233052944087086,0.28417126631736755,0.925,0.0006187098121643067,0.99998
5,0.4413856465901647,0.9751111111111112,0.5046321654319763,0.974,0.04374563771166972,0.9798888888888889,0.07840992653369903,0.977,0.2769227868286116,0.9228104898565067,0.27124745583534243,0.9245,0.0006377251815795898,0.99994
6,0.4377669584538255,0.9776666666666667,0.5008185224533082,0.976,0.04034532250038215,0.9821111111111112,0.07081132113933564,0.98,0.27692185831889843,0.9242949035131123,0.2704766867160797,0.9265,0.0006468754196166992,0.99996
7,0.43738996982574463,0.9798888888888889,0.49979577398300173,0.972,0.03577436464173453,0.984,0.0758778361082077,0.976,0.28572789619076316,0.9188520534388916,0.27886359810829164,0.9205,0.000701899356842041,0.99994
8,0.4358566791883537,0.9808888888888889,0.5036806602478028,0.975,0.03173952398023435,0.9854444444444445,0.07484402334690093,0.979,0.2803463626769083,0.9228104898565067,0.27351275849342344,0.9245,0.0006611921310424805,0.99996
9,0.43596774478043826,0.9797777777777777,0.5028800039291382,0.971,0.030630820537252086,0.9847777777777778,0.07413651251792908,0.975,0.27532357472939284,0.9247897080653142,0.2671010570526123,0.9265,0.0006532161235809326,0.99996
10,0.4368247248232365,0.9813333333333333,0.5041347804069519,0.972,0.025863589346408845,0.987,0.07087378358840943,0.976,0.2799374798791117,0.9218208807521029,0.2705514922142029,0.9235,0.0006433352375030517,0.99996
11,0.4389932176896504,0.9833333333333333,0.5061368689537048,0.97,0.023024964439017432,0.9878888888888889,0.0745489581823349,0.974,0.27980993175671753,0.9223156853043047,0.27223401474952696,0.924,0.0006279307079315186,0.99996
