epoch,c10h_train_loss,c10h_train_acc,c10h_val_loss,c10h_val_acc,c10h_train_c10_loss,c10h_train_c10_acc,c10h_val_c10_loss,c10h_val_c10_acc,v4_loss,v4_acc,v6_loss,v6_acc,c10_50k_loss,c10_50k_acc
0,0.5689772763422557,0.9625555555555556,0.5479383218288422,0.967,0.12330327018031052,0.9645555555555556,0.08803537514805794,0.971,0.33905740953034424,0.9208312716476992,0.33218087553977965,0.9225,0.0001338927936553955,1.0
1,0.48852522085819927,0.9651111111111111,0.48959606599807737,0.966,0.08889419460403068,0.9672222222222222,0.08330483767390251,0.968,0.33806446064881085,0.9148936170212766,0.33164070987701416,0.9175,0.000585319504737854,0.99996
2,0.4735777289739677,0.9681111111111111,0.4787078061103821,0.967,0.07377485976155315,0.9715555555555555,0.08182200437784196,0.971,0.3108107005971779,0.9168728352300841,0.30321875190734865,0.9195,0.0005584164333343506,0.99998
3,0.46618619114160537,0.9731111111111111,0.47678011655807495,0.967,0.06040614249983004,0.9762222222222222,0.08136907812952995,0.971,0.3007429025952973,0.9188520534388916,0.2938504133224487,0.9215,0.0005683787441253662,0.99996
4,0.44510916279894963,0.9745555555555555,0.4662766082286835,0.968,0.0493822437578014,0.9782222222222222,0.08241343215107917,0.972,0.2879662736844804,0.9218208807521029,0.28189271783828734,0.9245,0.0006938715553283691,0.99996
5,0.44916935648236955,0.9758888888888889,0.46780861568450927,0.967,0.04737797461982284,0.98,0.08083465799689293,0.971,0.28644046796424033,0.9238000989609104,0.2792272107601166,0.926,0.000627357759475708,0.99998
6,0.450294869605984,0.9756666666666667,0.47349106168746946,0.967,0.04194806840802942,0.9805555555555555,0.0835678878724575,0.971,0.2864121027596807,0.9218208807521029,0.278407249212265,0.9235,0.0006937439823150635,0.99996
7,0.43910432904958724,0.9788888888888889,0.4729975583553314,0.967,0.03570765799709729,0.983,0.08690356168150902,0.971,0.27332826818439526,0.9233052944087086,0.2657709491252899,0.925,0.00071844331741333,0.99994
8,0.4434934672500406,0.9813333333333333,0.47551969408988953,0.967,0.02964820720787559,0.9866666666666667,0.0859034161567688,0.971,0.2825889878347332,0.9233052944087086,0.2745378439426422,0.925,0.0006994625568389893,0.99998
9,0.44149662884218355,0.9807777777777777,0.47701612281799316,0.969,0.029307566157409124,0.9862222222222222,0.08748839142918587,0.973,0.2863695768068947,0.9203364670954973,0.27935154223442077,0.9225,0.0007396910190582275,0.99996
10,0.4438849820622376,0.9811111111111112,0.4738739049434662,0.968,0.027956950850784777,0.9863333333333333,0.0855245218873024,0.972,0.28508109128575465,0.9183572488866898,0.2751109130382538,0.921,0.000692129487991333,0.99996
11,0.43782831983906884,0.9828888888888889,0.4729166395664215,0.964,0.02294899392873049,0.9881111111111112,0.08831200227141381,0.968,0.28566759681713455,0.9188520534388916,0.27841473126411437,0.9215,0.0008254221439361572,0.99994
12,0.44320643789001873,0.9831111111111112,0.47515582013130186,0.962,0.021084492626999105,0.9884444444444445,0.08508235654234886,0.966,0.2874548596093585,0.9193468579910935,0.27900750064849855,0.9215,0.000683858060836792,0.99994
13,0.4380749746092728,0.984,0.4673456771373749,0.969,0.018543538876942225,0.9904444444444445,0.08508918961882592,0.973,0.27589297815899283,0.9262741217219198,0.27003114104270937,0.9285,0.0007537692832946777,0.99992
14,0.44185219832829065,0.9843333333333333,0.472233279466629,0.968,0.01681156964706523,0.9905555555555555,0.08317532739043236,0.972,0.2855120673148954,0.9183572488866898,0.2776431014537811,0.921,0.0006759836101531983,0.99996
15,0.45396956599184446,0.9842222222222222,0.4826270604133606,0.966,0.016149824485182762,0.9908888888888889,0.09038687753677369,0.97,0.27921788293438815,0.9228104898565067,0.27265479493141176,0.9245,0.0006364113903045654,0.99996
16,0.44461219470415797,0.9846666666666667,0.4783148217201233,0.966,0.016028446704149248,0.9908888888888889,0.08972554251551629,0.97,0.27505785388294157,0.9198416625432954,0.26884503245353697,0.922,0.0007167283725738525,0.99992
17,0.4499610941324915,0.986,0.4828066279888153,0.966,0.012265430497271674,0.9928888888888889,0.0886371431350708,0.97,0.2842714601094507,0.9228104898565067,0.27789412689208987,0.925,0.0007162417793273926,0.99996
18,0.4539414406887123,0.986,0.48452480244636537,0.965,0.012054451102656977,0.993,0.08739793783426285,0.969,0.2857681053779551,0.921326076199901,0.2776343023777008,0.9225,0.0007135733890533448,0.99996
19,0.45550780796578955,0.9861111111111112,0.4869890203475952,0.967,0.010649831114070757,0.9933333333333333,0.08672302487492561,0.971,0.28773479509448013,0.9208312716476992,0.2807147426605225,0.9225,0.0006965959644317627,0.99994
20,0.4520996512046882,0.9865555555555555,0.4852768940925598,0.966,0.009748861805668899,0.9935555555555555,0.0876023855805397,0.97,0.2894092919963943,0.9183572488866898,0.28198871040344237,0.9205,0.0007407415199279785,0.99994
21,0.4597189526472773,0.9865555555555555,0.49106711411476134,0.966,0.007770657486149243,0.9938888888888889,0.08745417019724847,0.97,0.28726746980239115,0.9198416625432954,0.279975350856781,0.9215,0.0006861000442504883,0.99994
22,0.4576458320021629,0.9857777777777778,0.4903528699874878,0.966,0.008838148627962386,0.9933333333333333,0.08752043199539185,0.97,0.28964403007715894,0.9203364670954973,0.28226940107345583,0.922,0.000659556188583374,0.99994
23,0.46020111654485973,0.9862222222222222,0.49102743554115297,0.969,0.007945910309042249,0.9933333333333333,0.08573330643773079,0.973,0.28878319937365293,0.9208312716476992,0.2821861188411713,0.923,0.0006387740802764893,0.99996
24,0.46466109954885076,0.9865555555555555,0.4989709899425507,0.969,0.00822519524289029,0.9936666666666667,0.09071654513478279,0.971,0.2892150883551342,0.9208312716476992,0.28455883646011354,0.9225,0.0006920945167541504,0.99994
25,0.4632211220051561,0.9872222222222222,0.49124753832817075,0.968,0.007146509444074971,0.9945555555555555,0.08760678204894067,0.972,0.2865314119998209,0.921326076199901,0.28055980348587034,0.9235,0.0006890070056915284,0.99994
26,0.46619579323700494,0.9876666666666667,0.4942986900806427,0.972,0.005935658275016717,0.995,0.08629513508081436,0.974,0.2956629245367338,0.9193468579910935,0.28931148314476013,0.9215,0.0007058465480804443,0.99996
27,0.4651661747268268,0.9871111111111112,0.49627025485038756,0.969,0.006125511229038238,0.9944444444444445,0.08446589420735837,0.973,0.2939803039803474,0.9208312716476992,0.28661772584915163,0.9235,0.0006826557540893554,0.99996
28,0.47117644484554017,0.9871111111111112,0.5016853539943695,0.968,0.0057514079447303496,0.9947777777777778,0.08976671656966209,0.972,0.2868337130735323,0.9208312716476992,0.27880297374725344,0.923,0.0006547992038726806,0.99994
29,0.47493523476379257,0.9866666666666667,0.5069635407924652,0.968,0.00555606127849647,0.9943333333333333,0.09042220598459244,0.972,0.2971578125446991,0.9203364670954973,0.28873197197914124,0.9235,0.0007006091594696044,0.99992
30,0.4716155812144279,0.9871111111111112,0.5012325556278229,0.967,0.005660802817770413,0.9946666666666667,0.09070752622187138,0.971,0.3037931235900673,0.9233052944087086,0.29489809679985046,0.926,0.0006745812892913818,0.99994
31,0.4795605148587908,0.9873333333333333,0.5090895910263061,0.964,0.005134730599820614,0.9947777777777778,0.09428306916356087,0.968,0.2984076080818922,0.921326076199901,0.2902754743099213,0.924,0.0006601838874816894,0.99996
32,0.4775076134928635,0.9875555555555555,0.5082663898468017,0.967,0.004617314253534589,0.9947777777777778,0.09271828985214234,0.971,0.2951573367345339,0.9218208807521029,0.2870492260456085,0.925,0.0006318342781066894,0.99996
33,0.4794195973447391,0.9873333333333333,0.5070193908214569,0.965,0.004658381161945207,0.995,0.09410591226816177,0.969,0.29699212392328517,0.9208312716476992,0.2882770709991455,0.924,0.00060827543258667,0.99994
34,0.4765414830829416,0.9877777777777778,0.5088689279556274,0.967,0.0038741188389914377,0.9952222222222222,0.09405896946787834,0.971,0.30082493116512327,0.9218208807521029,0.2927500874996185,0.9235,0.0006667386341094971,0.99992
35,0.4814779670110771,0.9872222222222222,0.5091233477592468,0.967,0.004535667358764581,0.9947777777777778,0.09128704884648323,0.971,0.3031733925834497,0.9203364670954973,0.2948182351589203,0.9225,0.0006555338478088379,0.99992
36,0.4845146223902702,0.9875555555555555,0.5200169911384582,0.963,0.0036182613245078496,0.9952222222222222,0.09489756345748901,0.967,0.3124893702739893,0.9178624443344878,0.3021513514518738,0.9205,0.0007131541728973388,0.9999
37,0.48366249331406186,0.9874444444444445,0.512328898191452,0.966,0.0038566678762435914,0.995,0.09362804791331292,0.97,0.3026546574741941,0.9178624443344878,0.29353282833099364,0.92,0.0006957559776306152,0.99988
38,0.48966319039463996,0.9876666666666667,0.5208756535053253,0.963,0.0036956798817430222,0.9952222222222222,0.09715882217884064,0.967,0.3093437751822398,0.9148936170212766,0.300327828168869,0.917,0.0006875116157531738,0.99992
39,0.4863209285906383,0.9875555555555555,0.516014479637146,0.966,0.003038110158273152,0.9951111111111111,0.09748964121937752,0.97,0.30899614920007423,0.917367639782286,0.30042254424095155,0.92,0.0006261711883544922,0.99992
40,0.49379935126219476,0.9875555555555555,0.5255969018936157,0.962,0.0033661255879061562,0.9952222222222222,0.10058369448781014,0.966,0.3027598711596097,0.9203364670954973,0.294749587059021,0.9225,0.0006105943965911865,0.99988
41,0.49667429977229666,0.9877777777777778,0.5338264646530151,0.96,0.0029189662209578924,0.9953333333333333,0.104502545773983,0.964,0.30971988476720674,0.9178624443344878,0.3011408476829529,0.92,0.0006311092376708984,0.99988
42,0.49871842903750285,0.9875555555555555,0.5291408145427704,0.964,0.002903795934149197,0.9951111111111111,0.09774380978941917,0.968,0.3107957964129875,0.917367639782286,0.3002820422649384,0.9195,0.0006225875949859619,0.9999
43,0.49441072302205225,0.9876666666666667,0.5275178351402283,0.966,0.0025815370891775404,0.9953333333333333,0.10167111068964005,0.97,0.30225976048159986,0.9188520534388916,0.2937690966129303,0.9215,0.000629477767944336,0.9999
44,0.49929000777857646,0.9877777777777778,0.5340411200523376,0.965,0.0024626563968403,0.9953333333333333,0.09968928956985473,0.969,0.3150065516935959,0.9178624443344878,0.303857758641243,0.9205,0.0006636782932281495,0.99986
45,0.4924058154225349,0.9878888888888889,0.5193219890594483,0.965,0.002584708375590188,0.9955555555555555,0.09484309574961662,0.969,0.30664629218957024,0.9158832261256804,0.2971102833747864,0.918,0.0006139874839782715,0.99988
46,0.49556163038526263,0.9877777777777778,0.5204773483276367,0.966,0.0024725700595549173,0.9954444444444445,0.09652800795435905,0.97,0.30646228603004877,0.9198416625432954,0.2965555441379547,0.922,0.0006140371608734131,0.9999
47,0.499136215874127,0.9876666666666667,0.5273772552013397,0.964,0.0025389375963381358,0.9951111111111111,0.09845994144678116,0.968,0.31081547536866494,0.9183572488866898,0.29959480595588683,0.921,0.0005469061851501465,0.9999
48,0.5050879310284342,0.9878888888888889,0.5360627112388611,0.964,0.002081039867230824,0.9955555555555555,0.10115507027506829,0.968,0.3074739550169832,0.9218208807521029,0.29727429604530337,0.924,0.0005739865398406983,0.99994
49,0.5032648852893284,0.9877777777777778,0.53334366106987,0.964,0.002129765333873885,0.9954444444444445,0.10182094389200211,0.968,0.3111851505865147,0.9188520534388916,0.30336891746520994,0.9205,0.0006143768501281738,0.99992
50,0.5140727545533862,0.988,0.5407329714298248,0.962,0.001812187795128141,0.9955555555555555,0.10456834980845452,0.966,0.3170913824759044,0.9163780306778823,0.30781249117851256,0.919,0.0005728635311126709,0.99992
51,0.5110699361988477,0.9876666666666667,0.537546867609024,0.963,0.002433270907827786,0.9953333333333333,0.10363756562769413,0.967,0.3183051047202445,0.9143988124690747,0.3087062492370605,0.917,0.0005850819301605225,0.99992
52,0.507308434269258,0.9881111111111112,0.5325621087551117,0.966,0.0018220716821295874,0.9955555555555555,0.09785988998413087,0.97,0.3133713433142053,0.9178624443344878,0.30185521697998047,0.92,0.0006201306915283203,0.99994
53,0.5126981011458805,0.9876666666666667,0.532037113904953,0.964,0.0023965644517115183,0.9953333333333333,0.09993474917113782,0.968,0.31756233543762175,0.9198416625432954,0.307875048160553,0.9215,0.0005796414375305176,0.9999
54,0.5117076160652297,0.988,0.5331214845180512,0.962,0.0018444169312715531,0.9955555555555555,0.10254694890975952,0.966,0.31847103402379834,0.9178624443344878,0.3091157157421112,0.9195,0.0006826101970672608,0.9999
55,0.5123764321208,0.9878888888888889,0.5348037085533142,0.965,0.0017735645174980163,0.9955555555555555,0.10114935356378556,0.969,0.3157733259874662,0.9183572488866898,0.30613955903053286,0.9205,0.0006504340744018554,0.9999
56,0.5116584988577025,0.9878888888888889,0.5333738131523132,0.965,0.0015853919621024812,0.9955555555555555,0.1033765363395214,0.969,0.3104159669643697,0.921326076199901,0.3029383933544159,0.9225,0.0005658858394622803,0.99986
57,0.5117734101201806,0.9876666666666667,0.5345859591960906,0.963,0.0020329116710594724,0.9953333333333333,0.10407699584960937,0.967,0.3274630560018472,0.9139040079168729,0.31901135659217833,0.9155,0.0006355760192871093,0.99988
58,0.5140110947191715,0.9877777777777778,0.5355441246032715,0.965,0.001972900118146624,0.9954444444444445,0.10356587409973145,0.969,0.31154266981899237,0.9208312716476992,0.3037477798461914,0.9225,0.0006014432334899903,0.99988
59,0.5138847528823784,0.9877777777777778,0.5320116848945617,0.966,0.0017734856211713383,0.9954444444444445,0.10008334636688232,0.97,0.31402758198879194,0.9178624443344878,0.30432059049606325,0.9205,0.000601220121383667,0.9999
60,0.5184423817055566,0.9875555555555555,0.5443467862606048,0.965,0.0020657138632876534,0.9952222222222222,0.10634958177804947,0.969,0.32002051241736434,0.9188520534388916,0.3113044044971466,0.9205,0.0005863199329376221,0.99988
61,0.5220252788492612,0.9877777777777778,0.5417655589580536,0.964,0.0013266612376485552,0.9954444444444445,0.10621767434477807,0.968,0.31990328164220977,0.9203364670954973,0.3117479989528656,0.922,0.0005811605262756348,0.9999
62,0.5190578352127756,0.9878888888888889,0.5364450500011444,0.965,0.0016375210668359483,0.9955555555555555,0.1020671563744545,0.969,0.30946103694679594,0.9193468579910935,0.3030265071392059,0.9205,0.0005837113094329834,0.99986
63,0.5170948350003788,0.9878888888888889,0.537289617061615,0.962,0.0012667010405233929,0.9955555555555555,0.10176791524887085,0.966,0.3150417097041891,0.9188520534388916,0.3062092535495758,0.921,0.0005870653438568115,0.99988
64,0.5222319221922329,0.988,0.5376667516231537,0.964,0.0015118437686136791,0.9955555555555555,0.10201131218671798,0.968,0.3182966296239869,0.9183572488866898,0.3094844079017639,0.92,0.0005714446926116943,0.9999
65,0.5242375705923353,0.988,0.5419871745109558,0.964,0.0014089913772685188,0.9954444444444445,0.10192156183719635,0.968,0.31378066747687583,0.9198416625432954,0.3051720325946808,0.921,0.0005670547103881836,0.99988
66,0.5236969426274299,0.9877777777777778,0.5421349952220916,0.962,0.0014111044151442391,0.9954444444444445,0.1022652935385704,0.966,0.31264614267021285,0.9228104898565067,0.30367555856704714,0.9245,0.000549683895111084,0.99986
67,0.5247943667428834,0.9878888888888889,0.5415633754730225,0.964,0.0012374934341226305,0.9955555555555555,0.10274005743861199,0.968,0.31832973763000133,0.917367639782286,0.31232909035682677,0.918,0.0005710746765136719,0.9999
68,0.5262805977037974,0.9878888888888889,0.5434396669864655,0.963,0.0013824057366166795,0.9954444444444445,0.10521824789047242,0.967,0.32212857640302756,0.9188520534388916,0.31602956318855285,0.9195,0.0005723548316955567,0.99988
69,0.5290198356977531,0.9876666666666667,0.5496599471569061,0.963,0.0012465823973928179,0.9953333333333333,0.10535781955718994,0.967,0.32248851996079225,0.9218208807521029,0.31521878600120545,0.9245,0.0006008712005615234,0.99988
70,0.5226080485752651,0.9877777777777778,0.5421616611480713,0.965,0.0014093752950429916,0.9954444444444445,0.10291175758838654,0.969,0.3248498525907355,0.9223156853043047,0.3155364763736725,0.924,0.000638842430114746,0.99988
71,0.5245251874838557,0.9881111111111112,0.5434461212158204,0.964,0.0013680229761770793,0.9954444444444445,0.10436125859618187,0.968,0.32042507797051983,0.9193468579910935,0.3117807204723358,0.9215,0.0005817699527740478,0.99984
72,0.5219984829425812,0.988,0.543091037273407,0.966,0.001374421375138419,0.9955555555555555,0.10276046568155289,0.97,0.3123430307845796,0.9193468579910935,0.304734085559845,0.922,0.0005449908638000488,0.99986
73,0.5322389594146184,0.9878888888888889,0.5499385573863983,0.963,0.0013514823679413115,0.9953333333333333,0.10550870424509048,0.967,0.32009262611876615,0.9163780306778823,0.3114088637828827,0.919,0.0005895049667358398,0.99984
74,0.5308564473475729,0.9878888888888889,0.5491839077472687,0.961,0.0012390754052570888,0.9955555555555555,0.10561298185586929,0.965,0.3130428045619425,0.9203364670954973,0.303843195438385,0.923,0.0005949743938446045,0.99986
75,0.5341006323695183,0.9878888888888889,0.5483170845508576,0.962,0.0010765777102538518,0.9955555555555555,0.1017859220802784,0.966,0.3167359708913891,0.9208312716476992,0.30708713841438295,0.923,0.0005981531810760498,0.99986
76,0.539991849235126,0.9877777777777778,0.557335263967514,0.961,0.0012263751455715724,0.9954444444444445,0.10724864253401756,0.965,0.32134654267125645,0.9193468579910935,0.3132708730697632,0.922,0.000612843370437622,0.99986
77,0.5319522207336767,0.9878888888888889,0.5521386592388153,0.961,0.001135898062161037,0.9955555555555555,0.10744761618971825,0.965,0.3257455658287415,0.9198416625432954,0.3167569291591644,0.9215,0.0006136457347869873,0.99988
78,0.5341491858874049,0.9877777777777778,0.5516342458724975,0.963,0.0011337852903774807,0.9954444444444445,0.10187239030003548,0.967,0.311833937663008,0.9208312716476992,0.3022109456062317,0.923,0.0005312254333496094,0.9999
79,0.5385797674102443,0.9878888888888889,0.5548464930057526,0.963,0.0009057096604790007,0.9955555555555555,0.10530274006724358,0.967,0.3232140820666978,0.9188520534388916,0.3129130430221558,0.9215,0.0005363562202453613,0.99988
80,0.5351415614996637,0.9878888888888889,0.5506194565296173,0.964,0.0009512188179152352,0.9955555555555555,0.1039131875038147,0.968,0.31841717117025026,0.917367639782286,0.3098233456611633,0.9195,0.0005153683185577392,0.99988
81,0.54405803542052,0.9877777777777778,0.5557371919155121,0.965,0.001147607554282461,0.9954444444444445,0.10383496376872063,0.969,0.3307774765458454,0.9183572488866898,0.32240927934646607,0.9205,0.0005528010177612304,0.9999
82,0.5415687567421368,0.9878888888888889,0.5541577188968658,0.963,0.0009583208709955215,0.9955555555555555,0.10556312939524651,0.967,0.3235011700502072,0.9178624443344878,0.31581171798706054,0.92,0.000538859224319458,0.9999
83,0.5431712906275477,0.9877777777777778,0.5606765081882477,0.963,0.0011588466486760548,0.9953333333333333,0.1073547120988369,0.967,0.3281862591234308,0.9168728352300841,0.3198301684856415,0.919,0.0005178980922698975,0.99992
84,0.538182329918657,0.9878888888888889,0.5570739419460297,0.961,0.0009585298597812652,0.9955555555555555,0.10538808965682983,0.965,0.3256224564459582,0.9183572488866898,0.31765953469276426,0.92,0.0005609840202331543,0.99992
85,0.5388577833771706,0.988,0.5556151301860809,0.964,0.0009671085114989962,0.9955555555555555,0.10760898980498314,0.968,0.328565227327696,0.9163780306778823,0.31984625577926634,0.919,0.00056811279296875,0.99988
86,0.5414326395307268,0.9877777777777778,0.5557515161037445,0.962,0.0012502041778394155,0.9953333333333333,0.1062312613427639,0.966,0.32479747806900156,0.917367639782286,0.3170752158164978,0.9195,0.0005306583404541016,0.9999
87,0.5380443068487304,0.9878888888888889,0.5503710820674896,0.964,0.0009838534252984183,0.9955555555555555,0.10545313262939453,0.968,0.32019143484123624,0.9193468579910935,0.3118141896724701,0.922,0.0005370878982543945,0.9999
88,0.5424674255507332,0.9878888888888889,0.5529924781322479,0.963,0.0008599834250552314,0.9955555555555555,0.10480375814437866,0.967,0.32729110769090647,0.9188520534388916,0.3183675136566162,0.9215,0.0005658926010131836,0.9999
89,0.5464607669838837,0.9878888888888889,0.5564199693202972,0.963,0.000856191452060427,0.9955555555555555,0.10495334196090698,0.967,0.3259115219116211,0.9178624443344878,0.3168590793609619,0.92,0.0005402016067504883,0.99988
90,0.543241623789072,0.9878888888888889,0.5472185895442963,0.966,0.0009939768484660558,0.9955555555555555,0.10054838040471077,0.97,0.32312373751345863,0.9183572488866898,0.3144571280479431,0.921,0.0005333310317993164,0.9999
91,0.5413532246436391,0.9878888888888889,0.5562016396522522,0.963,0.0007582334535462515,0.9955555555555555,0.10632584857940673,0.967,0.3260336782836725,0.9188520534388916,0.31861560440063474,0.921,0.0005341940307617188,0.9999
92,0.5447194405964443,0.9878888888888889,0.5571087729930878,0.965,0.000817591484103884,0.9955555555555555,0.10690599104762077,0.969,0.32863741322710394,0.917367639782286,0.3194327714443207,0.92,0.000526744441986084,0.9999
93,0.5419508097427231,0.9881111111111112,0.5553933732509613,0.964,0.0008067796805075237,0.9955555555555555,0.10238108631968498,0.968,0.32633053613499446,0.9208312716476992,0.31537027287483216,0.9235,0.0005239596176147461,0.99992
94,0.5426099732518196,0.9877777777777778,0.553252500295639,0.962,0.0011693562247923443,0.9954444444444445,0.10369349098205566,0.966,0.32990596692258917,0.9168728352300841,0.320858793258667,0.919,0.0005532306861877441,0.99988
95,0.5439320611102241,0.9878888888888889,0.55850443983078,0.964,0.0008025628115449633,0.9955555555555555,0.10375430247187614,0.968,0.3260293925150617,0.9163780306778823,0.31777623534202576,0.918,0.0005215144443511963,0.99992
96,0.5401516226785523,0.9878888888888889,0.5513160855770111,0.964,0.0009911107165472847,0.9955555555555555,0.10208009490370751,0.968,0.3296695954135478,0.9178624443344878,0.32143675661087034,0.92,0.0005499164676666259,0.9999
97,0.5437264510563442,0.9878888888888889,0.5558583109378815,0.963,0.0008553781147514071,0.9955555555555555,0.10330318927764892,0.967,0.3236347009703878,0.9168728352300841,0.3157025926113129,0.9185,0.0005446503829956054,0.9999
98,0.5422249487468175,0.988,0.5541344165802002,0.963,0.0007444447172539574,0.9955555555555555,0.10346502539515495,0.967,0.32493158300462066,0.9183572488866898,0.316700813293457,0.921,0.0005487149715423584,0.99992
99,0.5464675349848611,0.988,0.5597001111507416,0.962,0.0007558329829147884,0.9955555555555555,0.10639490374922753,0.966,0.32272842171049426,0.9193468579910935,0.3144379057884216,0.921,0.0005311328125,0.99992
100,0.5440175592899322,0.9878888888888889,0.556652791261673,0.962,0.0007738805775131498,0.9955555555555555,0.10621251878142357,0.966,0.32748572408179727,0.9188520534388916,0.319738166809082,0.9205,0.000544229211807251,0.99992
101,0.541330691746303,0.9878888888888889,0.5498511919975281,0.963,0.0009627406086240496,0.9955555555555555,0.10206955915689468,0.967,0.3249005314768216,0.9188520534388916,0.3155115728378296,0.921,0.0005606602096557618,0.9999
102,0.545230650476047,0.9878888888888889,0.5546525874137879,0.965,0.000913671510560172,0.9955555555555555,0.10499209496378899,0.969,0.3258930928986713,0.9188520534388916,0.31822893452644346,0.92,0.0005772736072540283,0.9999
103,0.5456546785576003,0.988,0.5600131244659424,0.963,0.0008776864835194179,0.9955555555555555,0.10667995363473892,0.967,0.3267384125329904,0.9183572488866898,0.317405898809433,0.9205,0.0005390334129333496,0.99992
104,0.5527838817664555,0.9878888888888889,0.5596127803325653,0.963,0.0007457551679440907,0.9955555555555555,0.10548755511641503,0.967,0.3348278917486511,0.9158832261256804,0.3240517337322235,0.9175,0.0005536457347869873,0.9999
105,0.5472262263298034,0.9877777777777778,0.5556717209815979,0.964,0.0008330718215022768,0.9954444444444445,0.10462394812703132,0.968,0.33149182768460256,0.9183572488866898,0.32254847860336305,0.9195,0.0005516317653656006,0.99988
106,0.549343047610351,0.9878888888888889,0.5614906730651855,0.963,0.0008917953819036484,0.9955555555555555,0.10502363023161888,0.967,0.33315903048654527,0.9198416625432954,0.3241038825511932,0.9215,0.0005634775829315185,0.9999
107,0.5470380385007177,0.9881111111111112,0.5573098320960999,0.963,0.0007549940475395748,0.9955555555555555,0.10364418601989746,0.967,0.3316612247486388,0.9208312716476992,0.3219103090763092,0.9225,0.0005775655841827392,0.99988
108,0.549835693197591,0.9877777777777778,0.5609817068576812,0.964,0.0008583845304591315,0.9954444444444445,0.1060087209045887,0.968,0.3309071045414992,0.9193468579910935,0.3223656420707703,0.9215,0.0005357283687591552,0.9999
109,0.5496005470199244,0.988,0.561156938791275,0.963,0.0008001114108732769,0.9955555555555555,0.10570992186665534,0.967,0.328440919894502,0.9183572488866898,0.3190179207324982,0.92,0.0005386803150177002,0.9999
110,0.5442415334284305,0.988,0.5574667081832886,0.963,0.0008685609325766563,0.9955555555555555,0.10417087325453758,0.967,0.3273142181016147,0.9188520534388916,0.3182382161617279,0.921,0.000551236867904663,0.99988
111,0.5503560428108488,0.9878888888888889,0.5589130635261536,0.967,0.0006731715053319931,0.9955555555555555,0.1060446391403675,0.971,0.32940779187666314,0.9183572488866898,0.3214017090797424,0.92,0.0005330132293701172,0.9999
112,0.5496305335845266,0.988,0.5612554149627685,0.963,0.0005909922931875501,0.9955555555555555,0.10657351258397102,0.967,0.3284421748657264,0.9188520534388916,0.31939915704727173,0.9205,0.0005360309219360352,0.9999
113,0.5457841535764081,0.9878888888888889,0.5584294145107269,0.963,0.0007961495646408626,0.9955555555555555,0.1061921491920948,0.967,0.3243517400397339,0.9223156853043047,0.3153593890666962,0.924,0.0005574465560913086,0.9999
114,0.5540801024862698,0.9878888888888889,0.5667259352207183,0.964,0.0006984022579022817,0.9955555555555555,0.10679048871994018,0.968,0.32559391822276995,0.9218208807521029,0.3169108452796936,0.9235,0.0005708579826354981,0.99988
115,0.553556940811021,0.9877777777777778,0.5598267447948456,0.963,0.0009815916152937072,0.9954444444444445,0.1037905417084694,0.967,0.3261625248273371,0.9218208807521029,0.31773340034484865,0.923,0.0005459342098236084,0.9999
116,0.5475841801081385,0.988,0.5620849375724792,0.965,0.0007035982395921435,0.9955555555555555,0.10594240951538086,0.969,0.32937657810979876,0.9198416625432954,0.32077750039100644,0.922,0.0005254575061798096,0.99992
117,0.5512053593993187,0.9877777777777778,0.5600566108226777,0.964,0.0007503739957298552,0.9954444444444445,0.10471666340529918,0.968,0.3344809045477824,0.9188520534388916,0.32585112261772153,0.9205,0.0005713942050933838,0.9999
118,0.5429252643670355,0.9878888888888889,0.556102267742157,0.965,0.0006506716034242085,0.9955555555555555,0.10376566076278687,0.969,0.32289993616981355,0.9203364670954973,0.3146804299354553,0.9225,0.000540151309967041,0.99988
