epoch,c10h_train_loss,c10h_train_acc,c10h_val_loss,c10h_val_acc,c10h_train_c10_loss,c10h_train_c10_acc,c10h_val_c10_loss,c10h_val_c10_acc,v4_loss,v4_acc,v6_loss,v6_acc,c10_50k_loss,c10_50k_acc
0,0.5566012280327933,0.9617777777777777,0.6255096063613892,0.977,0.11842148617974349,0.9643333333333334,0.08305783796310424,0.977,0.33905741778828613,0.9208312716476992,0.3321808738708496,0.9225,0.0001338926601409912,1.0
1,0.35834535253899436,0.9601111111111111,0.4101711382865906,0.963,0.10839256660214493,0.9615555555555556,0.09740944170951843,0.963,0.317289226822544,0.908955962394854,0.31500722181797025,0.9115,0.012565246880054474,0.99878
2,0.32587899097374506,0.9616666666666667,0.3710789313316345,0.969,0.10350515791880233,0.9636666666666667,0.09551314705610275,0.969,0.2761202263012197,0.917367639782286,0.2729066081047058,0.9215,0.01644240319252014,0.9983
3,0.3008924154298646,0.9666666666666667,0.34678268241882326,0.967,0.09789686671325139,0.9678888888888889,0.09513402897119522,0.967,0.2660410831258888,0.9163780306778823,0.26294062864780426,0.9205,0.0142321080827713,0.99946
4,0.2883972211607865,0.9673333333333334,0.3372898244857788,0.967,0.0863167700224689,0.9701111111111111,0.0918405494093895,0.967,0.25284318154044577,0.9208312716476992,0.24928208923339842,0.924,0.011964753704071044,0.99982
5,0.2792350492307118,0.971,0.32778387737274167,0.971,0.08807822346155132,0.971,0.09085026228427887,0.971,0.2520030531949303,0.9218208807521029,0.24766893887519836,0.9255,0.012393136000633239,0.99988
6,0.273026656465871,0.9723333333333334,0.32099022150039674,0.973,0.08319850114307233,0.974,0.08974786645174027,0.973,0.24741858650940826,0.9208312716476992,0.2436001454591751,0.9245,0.012689464316368103,0.9999
7,0.2686361555542265,0.9732222222222222,0.3190785880088806,0.972,0.08202704571719681,0.9736666666666667,0.08864614129066467,0.972,0.24143414781832093,0.9238000989609104,0.23754311573505402,0.9275,0.012063677310943604,0.99988
8,0.2648247731583459,0.9738888888888889,0.31456498336791994,0.973,0.08185386053685631,0.9742222222222222,0.08910901957750321,0.973,0.24226227958623517,0.9208312716476992,0.23816017460823058,0.9245,0.012773889193534851,0.99994
9,0.2605695073093687,0.9747777777777777,0.3135758340358734,0.972,0.07933904052312885,0.9755555555555555,0.09145477175712585,0.972,0.24188142251048214,0.9238000989609104,0.23672952628135682,0.9255,0.014120807166099548,0.99992
10,0.25871065982750485,0.9755555555555555,0.3138112952709198,0.974,0.07488891620721136,0.9757777777777777,0.0887135917544365,0.974,0.23858291805085424,0.9218208807521029,0.23423341822624205,0.9235,0.012421095314025878,0.99994
