epoch,c10h_train_loss,c10h_train_acc,c10h_val_loss,c10h_val_acc,c10h_train_c10_loss,c10h_train_c10_acc,c10h_val_c10_loss,c10h_val_c10_acc,v4_loss,v4_acc,v6_loss,v6_acc,c10_50k_loss,c10_50k_acc
0,0.8242088266781398,0.9185555555555556,0.7522199764251709,0.934,0.39349154106208256,0.9195555555555556,0.30446508169174197,0.94,0.838030318055396,0.8342404750123701,0.7882102473974227,0.8535,0.0021370915406942366,0.99956
1,0.7472513143505369,0.9264444444444444,0.7128753161430359,0.933,0.33392296241862435,0.9271111111111111,0.28651379692554474,0.939,0.8142276687353097,0.8381989114299851,0.7455570648908615,0.854,0.0023253809174895285,0.9996
2,0.6806087498153959,0.9242222222222222,0.6790097117424011,0.929,0.30447597822972705,0.9246666666666666,0.2811273579597473,0.935,0.801949980057212,0.8381989114299851,0.7116541002988815,0.8545,0.004535939216576516,0.9989
3,0.6270178088120052,0.9245555555555556,0.6392649488449097,0.928,0.2798367267740624,0.9254444444444444,0.2690759516954422,0.934,0.7910064282481002,0.8312716476991588,0.6772585402727127,0.8485,0.006635201258063317,0.99836
4,0.5932460320847375,0.9245555555555556,0.6096038146018982,0.925,0.2674450757248061,0.9255555555555556,0.26293170475959776,0.931,0.7334289584402871,0.8372093023255814,0.6623578054904937,0.851,0.007697855643630028,0.99828
5,0.5471672143254961,0.9272222222222222,0.576001253604889,0.923,0.24304295804883752,0.9272222222222222,0.249203378200531,0.929,0.6886117700183232,0.8411677387431964,0.6221941751241684,0.8505,0.009262695579528808,0.99804
6,0.5027283251285553,0.9307777777777778,0.5470637998580933,0.925,0.22092749268880912,0.93,0.24402889144420623,0.931,0.6573555713712078,0.8372093023255814,0.5977003580331802,0.847,0.012106461569070815,0.99782
7,0.48078023024967736,0.9296666666666666,0.5251232194900513,0.923,0.21626308262348176,0.9303333333333333,0.23802115297317505,0.929,0.6179790165328791,0.8406729341909945,0.5805835528373718,0.851,0.015155174231529235,0.99748
8,0.4572708168200084,0.9295555555555556,0.501570436000824,0.922,0.21315192729234694,0.929,0.22976634752750397,0.928,0.592846605430907,0.8411677387431964,0.5498045847415924,0.849,0.018745801779031755,0.99692
9,0.4385611150945936,0.9317777777777778,0.4880003170967102,0.919,0.20332361246858324,0.9325555555555556,0.2316214861869812,0.925,0.6080740525072486,0.8347352795645719,0.5419812887907028,0.8465,0.022732512010931967,0.99696
10,0.4177548485142844,0.9338888888888889,0.4677968339920044,0.922,0.19354199160422597,0.9338888888888889,0.22566782081127168,0.928,0.5833300327027805,0.830282038594755,0.5296475422382355,0.8465,0.025492287704348564,0.9972
11,0.4027193631444659,0.9322222222222222,0.4486184103488922,0.921,0.19505940760884966,0.932,0.21776238858699798,0.927,0.5704182947053583,0.830282038594755,0.5088974887132645,0.848,0.030774745901823043,0.99686
12,0.38849853447505406,0.9341111111111111,0.4393166923522949,0.925,0.18642408443348749,0.9332222222222222,0.2188753377199173,0.931,0.5675353147439707,0.8372093023255814,0.5045034643411637,0.848,0.03462264779925346,0.9967
13,0.378016502729484,0.9368888888888889,0.42669372940063477,0.924,0.1820411313857351,0.9368888888888889,0.2143715499639511,0.93,0.5370320729074474,0.8327560613557645,0.4888148113489151,0.8515,0.037707975324392316,0.99736
14,0.37075547533375874,0.9396666666666667,0.4206817636489868,0.925,0.1813391957964216,0.9392222222222222,0.21552608942985535,0.931,0.5388311131763789,0.8377041068777833,0.48574436497688295,0.849,0.04044835471987724,0.99688
15,0.36796449720859525,0.9371111111111111,0.41183425664901735,0.92,0.18394833962832177,0.9371111111111111,0.21001027369499206,0.926,0.5122563285971561,0.8406729341909945,0.4780580164194107,0.8485,0.04166312410950661,0.99744
