epoch,c10h_train_loss,c10h_train_acc,c10h_val_loss,c10h_val_acc,c10h_train_c10_loss,c10h_train_c10_acc,c10h_val_c10_loss,c10h_val_c10_acc,v4_loss,v4_acc,v6_loss,v6_acc,c10_50k_loss,c10_50k_acc
0,0.624702473623412,0.9411111111111111,0.6877079863548279,0.964,0.21327788031526973,0.9435555555555556,0.16613887870311736,0.966,0.5052123204692055,0.8832261256803563,0.5410013475418091,0.889,0.000641305456161499,0.99998
1,0.3535112581082753,0.9382222222222222,0.44202304816246035,0.914,0.17237919518457992,0.9382222222222222,0.22910647356510164,0.919,0.503214537979411,0.8357248886689758,0.5159000873565673,0.832,0.09546190988063813,0.97558
2,0.28685832587735993,0.9664444444444444,0.36712073397636413,0.937,0.11922453216144017,0.966,0.1741829195022583,0.942,0.4184103687909026,0.8545274616526473,0.3859899344444275,0.867,0.07756267158508301,0.98708
3,0.26866590710622923,0.9728888888888889,0.36069812631607057,0.937,0.10648662453251226,0.9713333333333334,0.17537943744659423,0.941,0.40940360556080574,0.8629391390400791,0.37582947897911073,0.866,0.07765478201389313,0.98802
4,0.25661421098879406,0.9773333333333334,0.35292240262031555,0.944,0.09730318968317338,0.9753333333333334,0.17022581362724304,0.947,0.403729204669086,0.8693715982187036,0.3792982728481293,0.8715,0.07223838628768921,0.9904
5,0.24901349895766803,0.9796666666666667,0.3606223926544189,0.943,0.09113779573568276,0.9784444444444444,0.1791836247444153,0.948,0.39652303535120725,0.8713508164275111,0.37816865158081053,0.8665,0.0756388356924057,0.9891
6,0.24234554490872792,0.982,0.3575125925540924,0.937,0.08992334143923862,0.9795555555555555,0.18356798350811004,0.938,0.40080451456583827,0.8629391390400791,0.3727751090526581,0.875,0.08102933727741242,0.98712
7,0.2391082800924778,0.9832222222222222,0.3518501579761505,0.941,0.0828451970326049,0.9816666666666667,0.1714214034676552,0.943,0.4050464132585955,0.8629391390400791,0.3735719006061554,0.871,0.07593178384304046,0.98852
8,0.23508553600737025,0.9833333333333333,0.35318339538574217,0.945,0.08023041351033108,0.9818888888888889,0.17632118862867355,0.948,0.40736602720855664,0.8644235526966848,0.37976356244087217,0.8705,0.07630359144687653,0.98858
9,0.2269997174186366,0.9862222222222222,0.35769641208648684,0.939,0.07692272141575814,0.9828888888888889,0.18254120659828185,0.941,0.3915009292000181,0.8743196437407225,0.3752275929450989,0.8735,0.0758544797372818,0.98932
10,0.22742905781737396,0.9863333333333333,0.35882009744644167,0.938,0.07621821364653962,0.9842222222222222,0.18659002876281738,0.937,0.4031834446929694,0.8649183572488867,0.37371445894241334,0.878,0.07782935949325562,0.98944
11,0.22604646853038243,0.9852222222222222,0.3627364022731781,0.934,0.07710666009890181,0.9821111111111112,0.19219742906093598,0.935,0.42281760215641306,0.8565066798614547,0.387465314745903,0.872,0.0804530272436142,0.98728
12,0.2204715061932802,0.9871111111111112,0.3557207250595093,0.937,0.07168976113732373,0.9835555555555555,0.18623218381404877,0.936,0.4251325620630482,0.8624443344878773,0.3920060849189758,0.87,0.08144006190776824,0.98724
13,0.21902745211763042,0.9871111111111112,0.35624459433555605,0.941,0.07432237578822033,0.9832222222222222,0.1917415397167206,0.94,0.40258613038570323,0.8644235526966848,0.37998597919940946,0.868,0.0810679234457016,0.9873
14,0.21704545372298786,0.9877777777777778,0.35004865598678586,0.937,0.06991457947130714,0.9845555555555555,0.18522079396247865,0.939,0.40676284738839824,0.867392380009896,0.3821357097625732,0.8715,0.0806392023897171,0.98788
15,0.21784540968281882,0.9854444444444445,0.35166377568244933,0.942,0.07236716433295182,0.9827777777777778,0.1846750580072403,0.941,0.4225985262725449,0.8560118753092528,0.39922185254096987,0.8655,0.08151445422172546,0.9869
16,0.21338185902152743,0.9876666666666667,0.3513083922863007,0.933,0.06954224412994725,0.9842222222222222,0.18577543139457703,0.934,0.3849525251110139,0.8738248391885205,0.3763023707866669,0.8675,0.08198090138435364,0.98784
17,0.21281706424696104,0.9882222222222222,0.3489329373836517,0.938,0.06945576989757163,0.9837777777777778,0.18191733956336975,0.937,0.4084613987091212,0.8664027709054923,0.38110417890548703,0.871,0.08122407843112946,0.98778
18,0.21108696556517056,0.988,0.3465748102664947,0.943,0.0691538318991661,0.9853333333333333,0.1818219130039215,0.942,0.4039575113688643,0.8609599208312716,0.36813479161262513,0.8775,0.08120348136425018,0.988
19,0.21148701070674827,0.9868888888888889,0.35133642745018007,0.941,0.06902742779680661,0.9827777777777778,0.18304933857917785,0.942,0.4070087740292707,0.8579910935180604,0.3830454421043396,0.867,0.08313908065319062,0.98682
20,0.2096428992492812,0.9866666666666667,0.35270373702049257,0.943,0.06895239361162697,0.9831111111111112,0.18523338675498963,0.944,0.40533004004373696,0.8664027709054923,0.38413357400894166,0.867,0.08345492638587952,0.98678
21,0.2084944330688034,0.9867777777777778,0.3524293372631073,0.936,0.06767414917371102,0.9835555555555555,0.1875336114168167,0.935,0.4190941665622045,0.8589807026224642,0.3998082859516144,0.865,0.08458923132896423,0.98636
22,0.2081381085727896,0.987,0.3550579469203949,0.933,0.06398636664130858,0.9836666666666667,0.1872133640050888,0.934,0.4121171139007391,0.8604651162790697,0.38615945148468017,0.865,0.08049542285442353,0.98682
23,0.2078635762844767,0.988,0.354445244550705,0.942,0.06706996780953237,0.9844444444444445,0.18591359436511992,0.944,0.4178644857419593,0.8624443344878773,0.39164490342140196,0.871,0.08500176274776458,0.98688
24,0.20559413794960293,0.9888888888888889,0.3518682396411896,0.932,0.0664079882736717,0.9844444444444445,0.1881588705778122,0.933,0.41783371336208835,0.8644235526966848,0.39290914702415464,0.861,0.08419410824775696,0.98632
25,0.206649142823049,0.9867777777777778,0.3508530373573303,0.936,0.06713030497942651,0.9853333333333333,0.18748071581125259,0.937,0.41701917144580974,0.8599703117268679,0.3911905930042267,0.8685,0.08906873441696167,0.9848
26,0.20564942806959152,0.9863333333333333,0.3469764239788055,0.936,0.06709725888712066,0.9842222222222222,0.18516784656047822,0.936,0.4248156996571976,0.855517070757051,0.3974433870315552,0.8645,0.08718834457874299,0.9864
27,0.20441999318344253,0.9886666666666667,0.3475455429553986,0.935,0.06459157770233495,0.9851111111111112,0.18260936963558197,0.936,0.42307984750793454,0.8614547253834736,0.40085973238945005,0.8615,0.08515282374858857,0.9853
28,0.20329566672444344,0.9895555555555555,0.3480685658454895,0.935,0.06356214665408645,0.986,0.18887746608257294,0.938,0.41878634977317103,0.8654131618010885,0.3947621020078659,0.8675,0.08848367777824402,0.98588
29,0.20330866532666342,0.9873333333333333,0.3501843409538269,0.936,0.06525757815688848,0.9835555555555555,0.18600523483753204,0.938,0.4215264640958636,0.8545274616526473,0.39432060289382936,0.865,0.0858272927570343,0.98496
30,0.201816656014749,0.9874444444444445,0.3460128846168518,0.935,0.06463363913020917,0.9841111111111112,0.1818146504163742,0.937,0.4124990379910608,0.8688767936665017,0.38010696625709534,0.871,0.0848441164302826,0.98568
31,0.20209528420652662,0.9874444444444445,0.3413320655822754,0.939,0.06376775537750551,0.985,0.17682190716266633,0.94,0.4041960160222636,0.8664027709054923,0.3841326296329498,0.8745,0.08439987476825714,0.98536
32,0.20218457388026373,0.9878888888888889,0.3489489936828613,0.936,0.06466156177754913,0.9845555555555555,0.1839514552950859,0.938,0.4046849351392885,0.867887184562098,0.3857033221721649,0.87,0.08788536664962769,0.98406
33,0.20061767612184797,0.9881111111111112,0.3520076472759247,0.935,0.06493939943611622,0.9831111111111112,0.18880259668827057,0.936,0.4246027816173642,0.859475507174666,0.3942716920375824,0.87,0.08834113975524903,0.98422
34,0.19998933938997132,0.9877777777777778,0.3501391084194183,0.939,0.06335103080740996,0.9842222222222222,0.1889056522846222,0.94,0.4178526441334852,0.8614547253834736,0.3933038281202316,0.8685,0.08689977088928223,0.98594
35,0.20026805198618344,0.9878888888888889,0.3499318175315857,0.933,0.0667816567101649,0.9843333333333333,0.19116637897491456,0.936,0.4353231921283282,0.855517070757051,0.3886202509403229,0.866,0.09022353844642639,0.98474
36,0.1995397210653339,0.987,0.3493082454204559,0.935,0.06419570539146661,0.984,0.18980803728103637,0.937,0.42725235571783404,0.8560118753092528,0.3843702449798584,0.8705,0.08982252342700958,0.98452
37,0.1997235571699483,0.9878888888888889,0.3491593520641327,0.934,0.0663936878687569,0.9833333333333333,0.19008403718471528,0.936,0.41572752979826894,0.8668975754576942,0.38811082100868227,0.8635,0.09164023096561431,0.98408
38,0.19866684057882855,0.9886666666666667,0.35016836047172545,0.935,0.06409437462155308,0.9844444444444445,0.18631614863872528,0.937,0.42044071261095917,0.859475507174666,0.380063223361969,0.875,0.08955185981273651,0.98486
39,0.19809323543948787,0.9878888888888889,0.35194738364219663,0.937,0.06371599952025073,0.9845555555555555,0.19178757965564727,0.94,0.4304933982400361,0.859475507174666,0.39579634118080137,0.8705,0.09203370860576629,0.98392
40,0.19833786359855107,0.9868888888888889,0.3523423898220062,0.931,0.06465911056314196,0.9837777777777778,0.19271949231624602,0.933,0.42040584489651567,0.8649183572488867,0.4029345977306366,0.865,0.09090378558635712,0.9843
41,0.19736841209232808,0.987,0.3484956684112549,0.937,0.0650053455095206,0.9833333333333333,0.18824472510814666,0.938,0.41290515776260955,0.8624443344878773,0.3997265591621399,0.862,0.09279114629268646,0.98414
42,0.19719214481966837,0.9873333333333333,0.3482805700302124,0.934,0.06332990644233567,0.9841111111111112,0.18947384107112886,0.935,0.4201557699375256,0.8659079663532905,0.3938702487945557,0.8625,0.0925053930568695,0.98348
43,0.19731261155435018,0.9876666666666667,0.3468443191051483,0.931,0.06498252427471536,0.9838888888888889,0.1865794347524643,0.933,0.41283794658010636,0.8584858980702622,0.3961237223148346,0.8655,0.09006956061363221,0.98384
44,0.19614531025290488,0.9882222222222222,0.34424746298789977,0.942,0.062046467566064425,0.9844444444444445,0.1860277853012085,0.941,0.411787107196083,0.8584858980702622,0.39105649161338807,0.8665,0.0907150085401535,0.983
45,0.19619395743523324,0.9877777777777778,0.3451673321723938,0.938,0.06119693730558668,0.9844444444444445,0.1843619672060013,0.94,0.41428869950895203,0.8589807026224642,0.3882921862602234,0.8705,0.09099298871040344,0.98354
46,0.19483339004218578,0.9887777777777778,0.3414796986579895,0.942,0.06273875510586159,0.9845555555555555,0.1823676917552948,0.944,0.4275494443786315,0.8579910935180604,0.3959089560508728,0.8705,0.09018408084392547,0.98438
47,0.1953144297003746,0.9881111111111112,0.34583603382110595,0.937,0.06327254982399089,0.9848888888888889,0.1869403784275055,0.938,0.4232183551505201,0.8599703117268679,0.39617610883712767,0.867,0.09234380496025085,0.98334
48,0.19462746882012913,0.9886666666666667,0.3489661257266998,0.935,0.060126453983996596,0.9848888888888889,0.18843996894359588,0.937,0.422491723449439,0.8579910935180604,0.39520973944664,0.873,0.08937913763999938,0.98448
49,0.19496335089206696,0.9884444444444445,0.3489136064052582,0.938,0.062281608155795504,0.9837777777777778,0.18990276157855987,0.937,0.43005984098471256,0.8560118753092528,0.39284456038475035,0.8675,0.09170072892665863,0.9828
50,0.19358292988368442,0.988,0.35019592118263243,0.937,0.06519182497369391,0.9836666666666667,0.1934394201040268,0.937,0.42513140040656705,0.8619495299356754,0.40833361077308655,0.865,0.09549150385379791,0.98192
51,0.19526248105934688,0.9873333333333333,0.35148843288421633,0.936,0.06596902143210173,0.9835555555555555,0.1979178434610367,0.936,0.41316935884545547,0.8654131618010885,0.3953925931453705,0.8715,0.09633256663322448,0.9823
52,0.19360594653657504,0.9887777777777778,0.3420340511798859,0.941,0.06548597732824939,0.9852222222222222,0.18653594040870666,0.942,0.4160107794756467,0.867392380009896,0.3876778919696808,0.874,0.0973748776102066,0.98264
53,0.19435509054788522,0.988,0.3503983452320099,0.94,0.06058861078428371,0.9845555555555555,0.1896006325483322,0.941,0.39623896790164226,0.8683819891142999,0.38068513107299806,0.8755,0.09235082238674164,0.98248
54,0.19322217090853622,0.9883333333333333,0.3478126711845398,0.932,0.0644013402717454,0.9841111111111112,0.19193977558612824,0.933,0.426577154508267,0.8604651162790697,0.4068906028270721,0.8675,0.09531996967315674,0.98252
55,0.19323101959058217,0.9886666666666667,0.3473906226158142,0.932,0.06468625052699022,0.9838888888888889,0.19006826269626617,0.935,0.4287232702938063,0.8604651162790697,0.397619309425354,0.8655,0.0943784949207306,0.98272
56,0.19361798369458744,0.9878888888888889,0.35342414379119874,0.93,0.06229354664683342,0.9838888888888889,0.19549501383304596,0.934,0.4227561254067211,0.8589807026224642,0.3914395878314972,0.867,0.09678374540805816,0.98126
57,0.19296844229102134,0.9893333333333333,0.3473956561088562,0.939,0.06339551713317633,0.984,0.187720480799675,0.941,0.41708269163796596,0.8649183572488867,0.3999647047519684,0.865,0.09480701282501221,0.9825
58,0.19169006517955234,0.9882222222222222,0.3500059013366699,0.939,0.0612369424530438,0.9851111111111112,0.19090164387226105,0.94,0.4110554243478959,0.8599703117268679,0.3933163616657257,0.866,0.09429155878543853,0.98264
59,0.19258799733860152,0.9893333333333333,0.35304347109794615,0.934,0.06307354761021478,0.9845555555555555,0.19489561927318572,0.937,0.419355122273892,0.859475507174666,0.39154347801208494,0.8735,0.09500059263706208,0.98322
60,0.19177132014717374,0.9881111111111112,0.35162593150138854,0.936,0.06380649065332754,0.9836666666666667,0.196562437415123,0.936,0.42396204227388995,0.8629391390400791,0.40769802141189576,0.862,0.09737592853546143,0.9813
61,0.19169831829411643,0.9895555555555555,0.35150584626197817,0.931,0.06434278669101852,0.9841111111111112,0.194295942902565,0.933,0.42744044461856673,0.855517070757051,0.39760171294212343,0.869,0.09666701597690583,0.98234
62,0.19163136375801904,0.9907777777777778,0.34776767539978026,0.941,0.06243932875139373,0.9864444444444445,0.19038858592510224,0.941,0.4398614887492837,0.8530430479960416,0.4038042204380035,0.87,0.09655843433380126,0.98208
63,0.19097287356853485,0.988,0.3465257089138031,0.936,0.06432705824928624,0.9842222222222222,0.190577738404274,0.937,0.40489540020172576,0.8604651162790697,0.3907777967453003,0.8735,0.09730552115917206,0.98254
64,0.1904999756387302,0.9885555555555555,0.34328178453445435,0.934,0.06041769803102527,0.9847777777777778,0.1862243238687515,0.935,0.4123527179078145,0.8570014844136566,0.3981855442523956,0.8625,0.0954309787940979,0.98314
65,0.1905796448567084,0.9892222222222222,0.3466317217350006,0.937,0.06300095287816865,0.9846666666666667,0.19119659626483917,0.937,0.41162571822694477,0.8659079663532905,0.3897255487442017,0.8675,0.09724364302635193,0.98218
66,0.19105029372232302,0.9883333333333333,0.3503185350894928,0.934,0.0621610752972109,0.9845555555555555,0.19439373469352722,0.936,0.4360367010454917,0.8550222662048491,0.4085649390220642,0.8595,0.09778361189842225,0.9803
67,0.19129824436136655,0.9884444444444445,0.3589897065162659,0.93,0.05891624401722636,0.9847777777777778,0.20244130635261537,0.932,0.4148191103305279,0.8629391390400791,0.3975180699825287,0.8655,0.09571826469421386,0.98098
68,0.19048290183501584,0.9887777777777778,0.3492096860408783,0.937,0.06112518443592957,0.9851111111111112,0.1923347705602646,0.937,0.4413546089899534,0.8500742206828302,0.40967108273506164,0.8645,0.0960341444349289,0.98188
69,0.18973605127206872,0.9888888888888889,0.35085182285308836,0.931,0.060931485731686864,0.9845555555555555,0.19342672264575958,0.932,0.4317038250052062,0.8550222662048491,0.406576135635376,0.8635,0.09731193007469177,0.98112
70,0.18985956375088012,0.9885555555555555,0.347908046245575,0.937,0.06142549248678344,0.9855555555555555,0.1922055286169052,0.939,0.4438069159886673,0.8476001979218208,0.40401483273506167,0.867,0.09698098528385163,0.98146
71,0.1889471403722252,0.9888888888888889,0.34801810240745545,0.939,0.0628626993724278,0.9841111111111112,0.1958663136959076,0.938,0.42874525962991916,0.8570014844136566,0.3980657706260681,0.8655,0.09953095210075379,0.98136
72,0.1889787747923817,0.989,0.34570929503440856,0.938,0.06289122000868831,0.9835555555555555,0.1891706693172455,0.938,0.43514544506110747,0.8500742206828302,0.3969410517215729,0.867,0.09858184237003327,0.98102
73,0.18967673693384443,0.9892222222222222,0.3486222803592682,0.935,0.06436566886092936,0.9848888888888889,0.19769244980812073,0.934,0.43359526488994504,0.859475507174666,0.405272057056427,0.862,0.10136977860927582,0.98058
74,0.1883922457162823,0.9894444444444445,0.34665535712242124,0.936,0.06146250085106918,0.9856666666666667,0.19296057820320128,0.936,0.42605758161606144,0.8609599208312716,0.39694185614585875,0.8645,0.09789360524654389,0.98184
75,0.18904380931385925,0.9884444444444445,0.34409859347343447,0.938,0.05983027845088925,0.9845555555555555,0.1849786880016327,0.94,0.4414175438857326,0.8495794161306284,0.4028882284164429,0.862,0.09511685603141784,0.98156
76,0.18867057748138905,0.9892222222222222,0.34353456592559817,0.942,0.06531077333326851,0.9834444444444445,0.1916701818704605,0.942,0.44237658486161,0.8589807026224642,0.4054817481040955,0.8645,0.10118475725650787,0.9806
77,0.18982537670859267,0.9891111111111112,0.35057886004447936,0.934,0.062418439079608236,0.9836666666666667,0.19496933472156525,0.936,0.4079239097401271,0.863928748144483,0.38820549845695496,0.8675,0.1001793459558487,0.98076
78,0.18864270853144782,0.9896666666666667,0.3444005811214447,0.939,0.06102768262582166,0.9861111111111112,0.18982910966873168,0.941,0.4455965163977886,0.8535378525482434,0.40987159514427185,0.8655,0.09906465958595276,0.98004
79,0.1885323834206377,0.9891111111111112,0.3567835783958435,0.933,0.06378876409892525,0.9842222222222222,0.20581623077392577,0.934,0.4316901313320709,0.851063829787234,0.4086382007598877,0.8615,0.10329719055652618,0.97886
80,0.1878254504076072,0.9891111111111112,0.3536300637722015,0.93,0.06352106268916811,0.9853333333333333,0.20269506657123565,0.931,0.4333041059917769,0.8589807026224642,0.4057870833873749,0.864,0.10208279375553131,0.97994
81,0.1893824338912964,0.9885555555555555,0.3529609537124634,0.933,0.060304413815694194,0.9844444444444445,0.19445562875270844,0.935,0.4409355764811373,0.8476001979218208,0.4070565996170044,0.8655,0.09962387351989746,0.97884
82,0.18831812138003962,0.9883333333333333,0.351455748796463,0.935,0.061211080183940274,0.9853333333333333,0.19552123725414275,0.936,0.42775766690847367,0.8535378525482434,0.40665538716316224,0.86,0.10151273052692414,0.97952
83,0.18755878055734293,0.989,0.3423763544559479,0.937,0.060800405937646115,0.9852222222222222,0.18982539129257203,0.94,0.4268902501571538,0.8574962889658585,0.4094706664085388,0.8575,0.10071103653907776,0.97924
84,0.18720965034195355,0.9903333333333333,0.3466480896472931,0.933,0.06419472792851073,0.9844444444444445,0.19681981229782106,0.936,0.4371884479374062,0.8485898070262247,0.40891672277450564,0.862,0.1034130217218399,0.97994
85,0.1873721336147615,0.9894444444444445,0.3486237003803253,0.933,0.061585066520742006,0.9855555555555555,0.19483694970607757,0.934,0.43231159870368546,0.8545274616526473,0.40695987510681153,0.8645,0.10092159851074219,0.98038
86,0.18769124299287795,0.9885555555555555,0.34523977065086364,0.935,0.06195277247045721,0.9846666666666667,0.18850912487506866,0.938,0.4329710047118797,0.8574962889658585,0.4011067082881927,0.868,0.10173750133514405,0.98044
87,0.18760381037635462,0.9883333333333333,0.3458615729808807,0.934,0.06065274466361318,0.984,0.18882591903209686,0.936,0.42805901336410385,0.8589807026224642,0.39460981273651125,0.8695,0.09942087331771851,0.97952
88,0.1865999479911157,0.9887777777777778,0.3434341261386871,0.936,0.06343850245965378,0.9855555555555555,0.19212664353847503,0.937,0.42326150864790363,0.8565066798614547,0.4106651883125305,0.863,0.1044833844280243,0.9797
89,0.187166132618274,0.9884444444444445,0.34095577120780945,0.941,0.06077333039471081,0.9848888888888889,0.18243422734737397,0.945,0.4298697162948582,0.8520534388916378,0.4002453465461731,0.868,0.09942667516231538,0.98042
90,0.18706955095486982,0.9881111111111112,0.33906748008728027,0.937,0.06409637763031892,0.984,0.18575562858581543,0.937,0.42705108408937353,0.8545274616526473,0.3986046576499939,0.8635,0.10357583117961884,0.97918
91,0.18668265268206596,0.9885555555555555,0.342439436674118,0.936,0.06232364172382014,0.983,0.19083787143230438,0.935,0.42879986426784283,0.8530430479960416,0.4083065116405487,0.858,0.10318291604042053,0.97892
92,0.18669857521142277,0.9888888888888889,0.34326214146614076,0.939,0.06450456654919046,0.9844444444444445,0.19203633797168732,0.94,0.4354782544522519,0.8520534388916378,0.4007405786514282,0.864,0.1061894487285614,0.97906
93,0.18596795446106365,0.9885555555555555,0.33772573351860047,0.941,0.06287901622376271,0.984,0.1854883621931076,0.942,0.44970261805839673,0.8416625432953984,0.40770962929725646,0.864,0.10259111843585968,0.9799
94,0.1855721921793052,0.9887777777777778,0.3435327582359314,0.938,0.06098236385732889,0.9844444444444445,0.19155221152305604,0.939,0.4257295966030406,0.8584858980702622,0.4014764196872711,0.8655,0.10288994902610779,0.97854
95,0.18689407919134413,0.9893333333333333,0.34939589381217956,0.937,0.06329160404524632,0.9838888888888889,0.1970298125743866,0.938,0.43670921603504353,0.8505690252350322,0.40907256841659545,0.867,0.10519366870880127,0.97834
96,0.18620785299156392,0.9891111111111112,0.3445565478801727,0.94,0.06318764636026962,0.9846666666666667,0.19516200590133667,0.94,0.4406155121910401,0.855517070757051,0.41165989995002744,0.864,0.10795207586765289,0.97846
97,0.18648889357490198,0.9896666666666667,0.3392030122280121,0.935,0.062060450602855,0.985,0.18520885789394378,0.939,0.44057479932837884,0.8579910935180604,0.4048893027305603,0.864,0.10547885945320129,0.97924
98,0.18676115162670612,0.9891111111111112,0.3471760723590851,0.94,0.060389750424240315,0.9843333333333333,0.1891436060667038,0.941,0.43568713767642964,0.8589807026224642,0.4008838005065918,0.869,0.1022092117357254,0.97902
99,0.18612877226301602,0.9894444444444445,0.34649950861930845,0.937,0.05900929889508656,0.9845555555555555,0.19104654717445374,0.939,0.43129633686319546,0.8579910935180604,0.39751951026916504,0.867,0.10148063896656036,0.97914
100,0.18495916814676353,0.9902222222222222,0.3455543074607849,0.944,0.0601052954260792,0.985,0.1915543920993805,0.943,0.4350283703905471,0.8599703117268679,0.40145977020263673,0.866,0.10210490059375762,0.97952
