epoch,c10h_train_loss,c10h_train_acc,c10h_val_loss,c10h_val_acc,c10h_train_c10_loss,c10h_train_c10_acc,c10h_val_c10_loss,c10h_val_c10_acc,v4_loss,v4_acc,v6_loss,v6_acc,c10_50k_loss,c10_50k_acc
0,0.6186202457972936,0.9442222222222222,0.659029863357544,0.96,0.20260885517512048,0.9462222222222222,0.14469612979888916,0.961,0.5052123204692055,0.8832261256803563,0.5410013475418091,0.889,0.000641305456161499,0.99998
1,0.7648357135908944,0.7662222222222222,0.834982409954071,0.755,0.6708682943667684,0.7673333333333333,0.7222153882980347,0.755,1.145832111846097,0.6140524492825334,1.1997853813171386,0.6145,0.7205384083557129,0.74884
2,0.8072514080575535,0.7638888888888888,0.9713775234222413,0.742,0.6672833708780153,0.765,0.815907190322876,0.741,1.1747519161841586,0.6259277585353785,1.2321954135894775,0.62,0.7584419302749634,0.74584
3,0.675834050987448,0.806,0.7957204961776734,0.783,0.533059837030513,0.8083333333333333,0.6545819058418274,0.785,1.0376707087761692,0.6501731815932706,1.0301172380447388,0.6725,0.6492242584991456,0.77434
4,0.6113301715680531,0.8356666666666667,0.7824685373306275,0.805,0.46514983613576205,0.8378888888888889,0.6276289472579956,0.808,0.9640773079998124,0.6877783275606135,0.9629132895469665,0.6985,0.6052878588867188,0.79514
5,0.6089822539261409,0.837,0.7942983927726746,0.795,0.4523159166531903,0.8385555555555556,0.6239312424659729,0.8,1.0224528655387692,0.6665017318159328,1.0073947787284852,0.6845,0.5918832262420655,0.79732
6,0.614864151605538,0.8423333333333334,0.8766922044754029,0.783,0.42497553005814553,0.8457777777777777,0.7006763262748719,0.783,1.0111164759728415,0.6892627412172192,1.0880498661994935,0.6905,0.5943563733482361,0.8049
7,0.627588948394571,0.8454444444444444,0.8690936117172241,0.796,0.42905825738395964,0.8497777777777777,0.6568731083869934,0.797,1.028416996424532,0.6768926274121722,0.9913081777095795,0.707,0.6046166934394837,0.80028
8,0.5734505661896296,0.8626666666666667,0.7594589114189148,0.834,0.3627833381295204,0.8663333333333333,0.5421444828510285,0.836,1.0016814610086298,0.6892627412172192,1.0200668382644653,0.7075,0.5789419903182983,0.81416
9,0.5461926294224603,0.887,0.7948955268859863,0.834,0.31904011629521845,0.8901111111111111,0.5672828803062439,0.838,1.013161776857409,0.7085601187530925,1.0374356634616853,0.717,0.523268572883606,0.83442
10,0.7187796424542154,0.8292222222222222,1.0817830047607422,0.775,0.48790466977017266,0.8327777777777777,0.8506664257049561,0.778,1.0994713956150073,0.6798614547253835,1.2441638784408569,0.6695,0.7193213626861572,0.77866
11,0.5736331060528755,0.8838888888888888,0.9090868210792542,0.813,0.3152958928474358,0.8883333333333333,0.6806416971683502,0.814,1.1249505490256324,0.6848095002474023,1.2195187504291534,0.6865,0.5735592569160461,0.823
12,0.5650807670184544,0.8818888888888889,0.8394256815910339,0.815,0.31176994810146946,0.8861111111111111,0.6028148307800293,0.817,1.1528205277010215,0.6922315685304304,1.221107936501503,0.697,0.5886860561943055,0.81676
13,0.5223207035234996,0.9105555555555556,0.8432536520957947,0.848,0.24043308044118541,0.915,0.5871170749664306,0.847,1.1173948073139408,0.706580900544285,1.1740988676548003,0.718,0.5195400335025787,0.84412
14,0.4608026027679443,0.9195555555555556,0.7585785603523254,0.834,0.20819105245172978,0.9244444444444444,0.5433117175102233,0.834,0.9044371425722095,0.7293419099455715,0.9348446187973023,0.751,0.4824927398490906,0.8469
15,0.4725732696907861,0.9138888888888889,0.7154385628700256,0.853,0.21536826581827231,0.919,0.4809236125946045,0.853,0.9827566365096193,0.7204354280059376,0.9955343358516693,0.745,0.5061848760700226,0.84064
16,0.4336992611842496,0.9382222222222222,0.6813510174751282,0.865,0.15578213025416646,0.9438888888888889,0.4255484027862549,0.866,0.8816501323920792,0.752102919346858,0.9601670961380004,0.7455,0.42630066925048826,0.86218
17,0.44936136709792274,0.9301111111111111,0.73355952835083,0.85,0.1641914918486561,0.9356666666666666,0.483714010477066,0.855,0.8512519112853116,0.7456704601682336,0.8519463076591491,0.767,0.446425284948349,0.8586
18,0.5680320569447108,0.9062222222222223,0.9574561738967895,0.818,0.25324114284345084,0.9107777777777778,0.7177130422592163,0.82,1.0949925511028435,0.7179614052449282,1.1417876892089844,0.7305,0.6151793795585633,0.8363
19,0.5232774204441479,0.9101111111111111,0.887708842754364,0.817,0.23242037104708807,0.9144444444444444,0.6427744088172913,0.819,1.005988550740619,0.7199406234537358,1.0037524480819702,0.74,0.5438010693550109,0.8355
20,0.5032752604356834,0.9276666666666666,0.8784947257041931,0.843,0.18555692418345382,0.9328888888888889,0.5956044433116913,0.845,1.0229105811376256,0.7308263236021771,1.0819790987968445,0.7385,0.5215758337783813,0.84694
21,0.46629990041255953,0.9375555555555556,0.815939612865448,0.831,0.1514151642365115,0.9426666666666667,0.5432081604003907,0.836,1.0066381228082195,0.7328055418109847,1.0799346537590027,0.7355,0.48400249628067016,0.85134
22,0.5316557388220514,0.9215555555555556,0.8405249361991882,0.853,0.20392927756266935,0.9266666666666666,0.550205233335495,0.856,1.0635554817040211,0.7224146462147452,1.1052332882881164,0.7355,0.5615210885238647,0.84256
23,0.5429524600505828,0.9148888888888889,0.9352985243797303,0.83,0.21351143499570233,0.9196666666666666,0.6629535467624664,0.835,1.0048079147957034,0.7372587827808016,1.083169340610504,0.738,0.5753409150600434,0.83906
24,0.47647703651871,0.9382222222222222,0.7708293914794921,0.857,0.15089924058743887,0.9435555555555556,0.5098705821037293,0.857,0.9197416277229049,0.7511133102424542,0.9347836170196533,0.756,0.49966669850349427,0.85322
