,Model,Loss,Accuracy,Error,Run
0,vgg_15_BN_64,0.3439,0.9318,0.06820000000000004,2
1,vgg_15_BN_64,0.3551,0.9307,0.06930000000000003,3
2,vgg_15_BN_64,0.3525,0.9305,0.0695,4
3,pyramidnet_basic_110_270,0.167,0.9614,0.03859999999999997,2
4,pyramidnet_basic_110_270,0.1627,0.9621,0.037900000000000045,3
5,pyramidnet_basic_110_270,0.1683,0.96,0.040000000000000036,4
6,shake_shake_26_2x64d_SSI_cutout16,0.1096,0.9716,0.02839999999999998,2
7,shake_shake_26_2x64d_SSI_cutout16,0.1159,0.9723,0.027699999999999947,3
8,shake_shake_26_2x64d_SSI_cutout16,0.1114,0.9716,0.02839999999999998,4
9,wrn_28_10,0.1611,0.9624,0.03759999999999997,2
10,wrn_28_10,0.1632,0.9595,0.04049999999999998,3
11,wrn_28_10,0.1661,0.96,0.040000000000000036,4
12,densenet_BC_100_12,0.1928,0.9548,0.04520000000000002,2
13,densenet_BC_100_12,0.2078,0.9522,0.047799999999999954,3
14,densenet_BC_100_12,0.2063,0.9528,0.04720000000000002,4
15,wrn_28_10_cutout16,0.1606,0.9608,0.03920000000000001,2
16,wrn_28_10_cutout16,0.1566,0.9619,0.03810000000000002,3
17,wrn_28_10_cutout16,0.1615,0.9598,0.040200000000000014,4
18,resnet_preact_bottleneck_164,0.2849,0.9428,0.05720000000000003,2
19,resnet_preact_bottleneck_164,0.2669,0.9422,0.05779999999999996,3
20,resnet_preact_bottleneck_164,0.294,0.9393,0.060699999999999976,4
21,resnet_basic_110,0.3333,0.9283,0.07169999999999999,2
22,resnet_basic_110,0.3631,0.935,0.06499999999999995,3
23,resnet_basic_110,0.3272,0.9406,0.05940000000000001,4
24,resnext_29_8x64d,0.1343,0.9609,0.039100000000000024,2
25,resnext_29_8x64d,0.1274,0.9646,0.03539999999999999,3
26,resnext_29_8x64d,0.1339,0.9636,0.03639999999999999,4
